Model,accuracy,precision,recall,f1,roc_auc
XGB | Exp1: Technical Only,0.5203980099502488,0.524894993439462,0.8418194958251959,0.6457666699110717,0.5221216523948856
XGB | Exp2: Tech+Sent (90 rows),0.5733333333333334,0.09333333333333334,0.2,0.12727272727272726,0.5178571428571429
XGB | Exp3: Tech+Sent (6030 rows),0.5194029850746269,0.5243009145263466,0.837885517546335,0.6444461473798547,0.5174793623042351
