Date,Close,High,Low,Open,Volume,ticker,target
2021-06-14,127.1856460571289,127.24412880162201,123.86174536220003,124.59280941543645,96906500,AAPL,0
2021-06-15,126.36685943603516,127.30262798000346,126.12317141530278,126.65928803562127,62746300,AAPL,1
2021-06-16,126.86397552490234,127.58529740869534,125.21665702603657,127.07842216944793,91815000,AAPL,1
2021-06-17,128.46250915527344,129.20332990380118,126.37654128828882,126.52276295506476,96721700,AAPL,0
2021-06-18,127.1661148071289,128.18959220522225,126.95166824074936,127.40980273496652,108953300,AAPL,1
2021-06-21,128.95970153808594,129.06692486047993,125.94772121838587,127.01019740258512,79663300,AAPL,1
2021-06-22,130.59725952148438,130.69474066397615,128.29684436989922,128.7939773736595,74783600,AAPL,0
2021-06-23,130.32427978515625,130.92863586258943,129.8661453649289,130.39251953322466,60214200,AAPL,0
2021-06-24,130.0416717529297,131.240612583958,129.57378007008424,131.0554073186903,68711000,AAPL,0
2021-06-25,129.74923706054688,130.50954241745376,129.4568084909208,130.09040620403312,70783700,AAPL,1
2021-06-28,131.3770751953125,131.8352098315601,129.98318695524438,130.04166969629122,62111300,AAPL,1
2021-06-29,132.88790893554688,133.043872786454,130.95790461954863,131.39653993588485,64556100,AAPL,1
2021-06-30,133.50201416015625,133.94064949902392,132.43952338561445,132.73195190270366,63261400,AAPL,1
2021-07-01,133.80421447753906,133.86269721920397,132.33232940247316,133.15113240638843,52485800,AAPL,1
2021-07-02,136.42630004882812,136.4652835854969,134.27209152787285,134.41829838230024,78852600,AAPL,1
2021-07-06,138.43426513671875,139.53572463895688,136.53350195950557,136.53350195950557,108181800,AAPL,1
2021-07-07,140.919921875,141.23183482081484,139.05814174627804,139.9159135024217,104911600,AAPL,0
2021-07-08,139.62347412109375,140.42276298269945,137.11835448019005,138.0053823208354,105575500,AAPL,1
2021-07-09,141.4462432861328,141.97260274724476,139.04834716131978,139.1458282969305,99890800,AAPL,0
2021-07-12,140.85165405273438,142.62570970674338,140.364278087154,142.51848639937432,76299700,AAPL,1
2021-07-13,141.96287536621094,143.7369310790402,140.00362927408963,140.39352411006757,100827100,AAPL,1
2021-07-14,145.38424682617188,145.79365573228569,143.95136027537654,144.36076918149035,127050800,AAPL,0
2021-07-15,144.73117065429688,146.21279783696795,143.3762659892824,145.47199168239987,106820300,AAPL,0
2021-07-16,142.69393920898438,145.97884856339024,142.1968210625346,144.7116829108476,93251400,AAPL,0
2021-07-19,138.85340881347656,140.43251704679776,138.0931035014654,140.12058929133983,121434600,AAPL,1
2021-07-20,142.4600067138672,143.38603306380864,139.35056015600642,139.83793618290784,96350000,AAPL,0
2021-07-21,141.72894287109375,142.4405225803077,140.97839449756518,141.8556653977963,74993500,AAPL,1
2021-07-22,143.0935821533203,144.4582288663732,142.12857241610413,142.25529492286392,77338200,AAPL,1
2021-07-23,144.80914306640625,144.9651069434816,143.2105505102186,143.82464898024415,71447400,AAPL,1
2021-07-26,145.22830200195312,146.04709009069717,143.97086362595675,144.52647939059113,72434100,AAPL,0
2021-07-27,143.0643310546875,145.44272791296905,141.87513262554674,145.35498894389306,104818600,AAPL,0
2021-07-28,141.31951904296875,143.25928057886588,138.94112214929507,141.15381301329907,118931200,AAPL,1
2021-07-29,141.96287536621094,142.84990322262558,140.92964066468824,141.03686397561236,56699500,AAPL,1
2021-07-30,142.17730712890625,142.63544169374407,140.47149137109437,140.73467853831747,70440600,AAPL,0
2021-08-02,141.84588623046875,143.23977416644965,141.5826990796388,142.66467417357075,62880000,AAPL,1
2021-08-03,143.63941955566406,144.30224361135603,141.51445299043982,142.12855135709023,64786600,AAPL,0
2021-08-04,143.2397918701172,144.058579914417,142.58670986762564,143.5517196242508,56368300,AAPL,1
2021-08-05,143.34703063964844,144.10733603044793,142.4795019309908,143.2690486927029,46397700,AAPL,0
2021-08-06,142.6636962890625,143.6106236198985,142.16583326910765,142.8687074712915,54126800,AAPL,0
2021-08-09,142.61488342285156,143.21037365568,142.05845003246944,142.72226739584752,48908700,AAPL,0
2021-08-10,142.13656616210938,144.1963754257306,141.84369939131616,142.9565812036722,69023100,AAPL,1
2021-08-11,142.39031982421875,143.22986295766566,142.0681679932176,142.57580253562702,48493500,AAPL,1
2021-08-12,145.34823608398438,145.5044336133679,142.37078584930737,142.71246608285676,72282600,AAPL,1
2021-08-13,145.55325317382812,145.88516176552068,144.74299521470792,145.42634081402107,59375000,AAPL,1
2021-08-16,147.52523803710938,147.59358006664493,142.9858555687735,145.00660783223563,103296000,AAPL,0
2021-08-17,146.61732482910156,148.07187159409528,145.5434853619502,146.65636676617194,92229700,AAPL,0
2021-08-18,142.87843322753906,147.134719463398,142.67342208980006,146.23660593235846,86326000,AAPL,1
2021-08-19,143.2103271484375,144.4794059910355,141.06266328178802,141.58005455752308,86960300,AAPL,1
