Date,ticker,target,sma_10,sma_20,sma_50,ema_10,ema_20,close_to_sma20,close_to_sma50,rsi_14,rsi_from_70,rsi_from_30,macd,macd_signal,macd_diff,bb_width,bb_position,daily_return,volatility_10,volume_change,volume_ratio,ticker_encoded,avg_sentiment,sentiment_std,news_count,positive_count,negative_count
2021-08-23,AAPL,0,144.64733428955077,143.61740417480468,139.16568054199217,144.58809418739222,143.64128947576648,1.0176254629912855,1.0501779378924745,60.407454335530566,-9.592545664469434,30.407454335530566,1.5195197247580552,1.7088879569756885,-0.18936823221763333,0.04767287096116837,0.8697168355067645,0.010256878140570969,0.012778978200292985,-0.006900128159393337,0.8451260469242436,0,0.0,0.0,0.0,0.0,0.0
2021-08-24,AAPL,0,145.03976440429688,143.76723098754883,139.54318496704101,144.8558711186973,143.87172545993826,1.0159538185876316,1.0467072780664188,60.081545131968035,-9.918454868031965,30.081545131968035,1.5373385580755325,1.6745780771956575,-0.137239519120125,0.04969750190719104,0.8210185215632168,-0.000601169158122028,0.01266744287422676,-0.1916689671687859,0.7112368081846432,0,0.0,0.0,0.0,0.0,0.0
2021-08-25,AAPL,0,145.28381958007813,143.94279861450195,139.91246520996094,144.85132574839437,143.96307270966142,1.006169624156799,1.035153453730441,55.56213675649225,-14.43786324350775,25.56213675649225,1.435660337445654,1.626794529245657,-0.1911341918000029,0.04745913996361268,0.6299986506609556,-0.008421117512140586,0.013159867038351184,0.2136529345929754,0.9027851586247636,0,0.0,0.0,0.0,0.0,0.0
2021-08-26,AAPL,1,145.15203247070312,144.04617309570312,140.25579299926758,144.70206015600164,143.9694814982874,0.999890256678612,1.0269120576786908,52.77952896964623,-17.22047103035377,22.77952896964623,1.2757790366099755,1.5565914307185207,-0.2808123941085452,0.045717089907260276,0.4975995120946981,-0.005527182036900724,0.011460419187886374,-0.1761971680569847,0.7483566004543372,0,0.0,0.0,0.0,0.0,0.0
2021-08-27,AAPL,1,145.1032257080078,144.19056701660156,140.5878465270996,144.76808295434222,144.07383426481954,1.0060657125384127,1.031847269379095,55.85717055927353,-14.142829440726473,25.857170559273527,1.2185269047287761,1.4889785255205719,-0.27045162079179574,0.04444532458534036,0.6364758294602126,0.0071847388341395035,0.011729329137696353,0.14826368597367745,0.8691062374380224,0,0.0,0.0,0.0,0.0,0.0
2021-08-30,AAPL,0,145.2984634399414,144.5721534729004,141.03407653808594,145.62436157290642,144.5884800830696,1.0339308903250475,1.0598687850881146,66.02529527153075,-3.9747047284692485,36.02529527153075,1.5117736021125552,1.4935375408389686,0.018236061273586568,0.052086445960487227,1.1514341629449523,0.030416876336910814,0.014759550990072872,0.6299782805040643,1.3863134832793875,0,0.0,0.0,0.0,0.0,0.0
2021-08-31,AAPL,1,145.45856323242188,144.8010986328125,141.41924896240235,146.09599087854275,144.93417938505405,1.0235994350412987,1.0480774282241556,61.65996134129544,-8.340038658704557,31.659961341295443,1.6238407089530256,1.5195981744617801,0.10424253449124543,0.056022146053087175,0.9212518924022579,-0.008424623309223556,0.014905630048272422,-0.04951366969118276,1.2962687241889466,0,0.0,0.0,0.0,0.0,0.0
2021-09-01,AAPL,1,146.0589340209961,145.0832160949707,141.78494659423828,146.6025636484952,145.31017574012333,1.026184455518437,1.0500560510090948,63.0469247273524,-6.953075272647602,33.0469247273524,1.7460914371803824,1.5648968270055008,0.1811946101748816,0.06005108424056291,0.9360363488782786,0.004478652483992596,0.011587094187239131,-0.07101422621051179,1.1829786770220772,0,0.0,0.0,0.0,0.0,0.0
2021-09-02,AAPL,1,146.7374038696289,145.41561584472657,142.17836151123046,147.21937491872617,145.75635192056546,1.0314918708244436,1.0549778745545448,65.31246317754776,-4.687536822452245,35.312463177547755,1.9107505571672334,1.6340675730378473,0.2766829841293861,0.0656107472159757,0.979980371520226,0.007474936303055957,0.011609650994977802,-0.11452840548997245,1.0287663411256127,0,0.0,0.0,0.0,0.0,0.0
2021-09-03,AAPL,1,147.33386688232423,145.81390838623048,142.59011901855467,147.83940622789243,146.2204657490012,1.0330259217807571,1.0563813829171418,66.57088612232256,-3.4291138776774375,36.57088612232256,2.0685991535495987,1.7209738891401976,0.3476252644094011,0.06999882328923716,0.9718068137273271,0.004230283515668454,0.011450274236793451,-0.1871153264759441,0.8340472044398684,0,0.0,0.0,0.0,0.0,0.0
2021-09-07,AAPL,0,148.01526641845703,146.3313003540039,143.05438873291016,148.7709183279702,146.8625854660792,1.0453178671157415,1.0692627058363762,70.7700855433925,0.7700855433924971,40.7700855433925,2.3548182015495627,1.8477427516220706,0.5070754499274921,0.078690675172437,1.0758988217655432,0.015489495280326837,0.011874262536398424,0.4232857684051017,1.1591832548377141,0,0.0,0.0,0.0,0.0,0.0
2021-09-08,AAPL,0,148.55121002197265,146.79548721313478,143.45525329589844,149.25262469465318,147.2966538354742,1.031505165583714,1.0555228886069372,64.96067708240403,-5.0393229175959675,34.96067708240403,2.429186353267994,1.9640314719512553,0.46515488131673877,0.07938106746141281,0.8968851338391072,-0.010083629563976126,0.01268909744175426,-0.09550634857550533,1.0445028309010322,0,0.0,0.0,0.0,0.0,0.0
2021-09-09,AAPL,0,149.10862731933594,147.19622344970702,143.80559600830077,149.46215557847333,147.59269104692083,1.021799615715368,1.0458914585422834,61.38853741138442,-8.61146258861558,31.38853741138442,2.3787796587259322,2.0469811093061905,0.33179854941974174,0.07689641382775156,0.7834932688044361,-0.006704905264594108,0.012517663487909378,-0.22997116374317728,0.7993540522591641,0,0.0,0.0,0.0,0.0,0.0
2021-09-10,AAPL,1,149.24822692871095,147.20012969970702,144.04408294677734,148.7283747612935,147.38637390759357,0.987949952086719,1.0095962160258798,47.57317043593707,-22.426829564062928,17.573170435937072,1.915018699064973,2.020588627257947,-0.10556992819297406,0.07682641372064994,0.3431522788881386,-0.03310183834849434,0.017035547121380005,1.458624534732147,1.8755615974006576,0,0.0,0.0,0.0,0.0,0.0
2021-09-13,AAPL,0,149.3409622192383,147.22209396362305,144.28784942626953,148.23094997781257,147.25362767374165,0.9916482949102842,1.0118145015859425,48.97935950590271,-21.020640494097293,18.979359505902707,1.575014789109332,1.9314738596282242,-0.35645907051889214,0.07651077252004344,0.39084275567171983,0.0038932237865534347,0.016936341910137553,-0.2731778396686284,1.3252445047854007,0,0.0,0.0,0.0,0.0,0.0
2021-09-14,AAPL,1,148.8528564453125,147.07565994262694,144.45125457763672,147.57015136678982,147.00057338264125,0.9831440339862726,1.0010058966948792,45.72297109772929,-24.277028902270708,15.722971097729292,1.1793207783596245,1.7810432433745045,-0.60172246501488,0.07811046842664143,0.28420349598136285,-0.009562001248567209,0.013537137833846953,0.06730186134761929,1.4089655007050224,0,0.0,0.0,0.0,0.0,0.0
2021-09-15,AAPL,0,148.5795150756836,147.01903915405273,144.59226745605469,147.19101640148568,146.85622439930563,0.9895650923495152,1.0061735085649293,48.08823149979888,-21.91176850020112,18.08823149979888,0.9267301922126592,1.6101806331421356,-0.6834504409294764,0.07867309492999272,0.3673637072525202,0.006143655527274472,0.01369904724567355,-0.2380226961022468,1.079827966692858,0,0.0,0.0,0.0,0.0,0.0
2021-09-16,AAPL,0,148.21636352539062,147.13764877319335,144.6788815307617,146.83821807582493,146.70331022892907,0.9871751167795908,1.003951814345954,47.50033477172384,-22.499665228276157,17.500334771723843,0.699581279156547,1.4280607623450179,-0.7284794831884709,0.07517386716351648,0.3293970537326119,-0.0016103625371400865,0.013524446884490995,-0.1830807155988199,0.8927187447369935,0,0.0,0.0,0.0,0.0,0.0
2021-09-17,AAPL,0,147.4754165649414,147.10641021728514,144.73812316894532,146.06500679481556,146.31114316239047,0.9692681360361243,0.9851278495841811,41.31303734970795,-28.686962650292053,11.313037349707947,0.30104502716437764,1.2026576153088897,-0.9016125881445121,0.07647636641512441,0.09815214288478499,-0.018348076429133053,0.013893291864713185,0.9088780479200871,1.657432037575443,0,0.0,0.0,0.0,0.0,0.0
2021-09-20,AAPL,1,146.36644134521484,146.85015411376952,144.69999420166016,144.87860463609908,145.66625285376992,0.9502189205315307,0.9643386351999871,35.604994625372214,-34.395005374627786,5.604994625372214,-0.25759588577480486,0.9106069150921507,-1.1682028008669556,0.08788152030818343,-0.06645673964101546,-0.021360937202866248,0.014360335889893628,-0.049202733835994494,1.5150433005269386,0,0.0,0.0,0.0,0.0,0.0
2021-09-21,AAPL,1,145.07198333740234,146.5436248779297,144.68332397460938,143.99488428411658,145.12833760104851,0.9554707194996024,0.9677559158425696,37.07545319797806,-32.92454680202194,7.075453197978057,-0.6541831499406499,0.5976489020855907,-1.2518320520262405,0.09698446358085364,0.04086171272912596,0.003428038421499302,0.012612773770920746,-0.3858545873019601,0.9215792943247844,0,0.0,0.0,0.0,0.0,0.0
